NewUsed,Year,Make,Model,ModelNumber,ExteriorColor,EngineCylinders,Trim,Doors,VIN,SellingPrice,Miles,Certified,EPACity,EPAHighway,FuelType,DriveTrain,TransmissionDescription
NEW,2022,Jeep,Compass,MPJP74,Sting-Gray Clearcoat,4,Limited 4x4,4,3C4NJDCB7NT233228,38815,12,FALSE,22,30,Gasoline,Four Wheel Drive,9-Speed 948TE Automatic
NEW,2022,Jeep,Compass,MPJE74,Diamond Black Crystal Pearlcoat,4,Latitude Lux,4,3C4NJDFB7NT223360,37065,12,FALSE,22,30,Gasoline,Four Wheel Drive,9-Speed 948TE Automatic
NEW,2023,Jeep,Grand Cherokee 4xe,WLXS74,Bright White Clearcoat,4,Overland 4x4,4,1C4RJYD63P8802085,71830,5,FALSE,,,Hybrid,Four Wheel Drive,8-Speed Automatic
NEW,2023,Jeep,Grand Cherokee 4xe,WLXS74,Bright White Clearcoat,4,Overland 4x4,4,1C4RJYD65P8802086,71830,15,FALSE,,,Hybrid,Four Wheel Drive,8-Speed Automatic
NEW,2023,Jeep,Wrangler 4xe,JLXL74,Granite Crystal Metallic Clearcoat,4,4x4,4,1C4JJXN6XPW599309,60640,8,FALSE,,,Hybrid,Four Wheel Drive,8-Speed Automatic
NEW,2023,Jeep,Grand Cherokee 4xe,WLXP74,Bright White Clearcoat,4,4x4,4,1C4RJYB65P8784336,65950,12,FALSE,,,Hybrid,Four Wheel Drive,8-Speed Automatic
NEW,2023,Jeep,Gladiator,JTJL98,Granite Crystal Metallic Clearcoat,6,Sport S 4x4,4,1C6HJTAG1PL504988,53490,12,FALSE,17,23,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2023,Ram,1500,DT6H91,Bright White Clearcoat,8,"Big Horn 4x4 Crew Cab 6'4"" Box",4,1C6SRFMT2PN533042,60365,105,FALSE,17,22,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2023,Jeep,Wrangler 4xe,JLXL74,White Knuckle Clearcoat,4,4x4,4,1C4JJXN66PW604649,60145,15,FALSE,,,Hybrid,Four Wheel Drive,8-Speed Automatic
NEW,2023,Jeep,Grand Wagoneer,WSJS75,Diamond Black Crystal Pearlcoat,6,Series II Obsidian 4x4,4,1C4SJVFJ2PS505734,103230,12,FALSE,13,18,Gasoline,Four Wheel Drive,8-Speed Automatic
